index,app,category,text,image,procedure,description
1419,15,10,点击进入某目的地 点击新浪微博分享 返回搜索页面 点击推荐目的地 发现字符排列重叠,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542413486812/1542413486812_Screenshot_2018-11-17-08-08-22.png,点击进入某目的地 点击新浪微博分享 返回搜索页面 点击推荐目的地, 发现字符排列重叠
1446,15,1,填写好友姓名 只能填写中文汉字，否则会提示名字不规范，无法邀请只有外文名的外国朋友,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542415103154/1542415103154_Screenshot_2018-11-17-08-37-15-243_com.tuniu.app..png,填写好友姓名, 只能填写中文汉字，否则会提示名字不规范，无法邀请只有外文名的外国朋友
1438,15,1,点击推荐方式二  输入好友姓名 没有字数限制（没有错误值分析提示）,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542414874482/1542414874482_TIM%E6%88%AA%E5%9B%BE20181117083211.png,点击推荐方式二  输入好友姓名, 没有字数限制（没有错误值分析提示）
1444,15,1,进入“推荐方式二”  输入好友姓名 只输入姓氏“王”应显示“名字不符合规范”，实际上软件未定为违规,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542415022759/1542415022759_Screenshot_2018-11-17-08-32-56.png,进入“推荐方式二”  输入好友姓名 只输入姓氏“王”,应显示“名字不符合规范”，实际上软件未定为违规
1458,15,1,点击推荐有礼 选择推荐方式二 输入好友姓名 无长度限制,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542415320572/1542415320572_Screenshot_2018-11-17-08-41-34%5B1%5D.png,点击推荐有礼 选择推荐方式二 输入好友姓名, 无长度限制
1487,15,1,1.点击我的 2.点击右上角的推荐有礼 3.点击推荐方式二 4.在好友手机输入框输入正确手机号码，如15989111816 5.在好友姓名输入框输入任意位数汉字 6.点击立即推荐 7.不提示好友姓名格式错误,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542419734205/1542419734205_Screenshot_2018-11-17-09-55-32.png,1.点击我的 2.点击右上角的推荐有礼 3.点击推荐方式二 4.在好友手机输入框输入正确手机号码，如15989111816 5.在好友姓名输入框输入任意位数汉字 6.点击立即推荐 ,7.不提示好友姓名格式错误
1423,15,2,搜索北京 搜索结果应与北京相关但是却出现了与北京无关的“马尔代夫”,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542414218510/1542414218510_Screenshot_2018-11-17-08-22-25.png,搜索北京 ,搜索结果应与北京相关但是却出现了与北京无关的“马尔代夫”
1462,15,2,输入“1”  会显示无关信息,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542415513322/1542415513322_S81117-084434.jpg,输入“1”  ,会显示无关信息
1469,15,2,进入途牛app进入首页 点击首页搜索框 输入*1 预期结果：查询结果为空 实际结果：出现与搜索内容无关的搜索结果,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542416133815/1542416133815_bug1.png,进入途牛app进入首页 点击首页搜索框 输入*1 ,预期结果：查询结果为空 实际结果：出现与搜索内容无关的搜索结果
1480,15,2,点击上方搜索 输入/n  能搜索到页面，应提示输入错误,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1542418449426/1542418449426_Screenshot_2018-11-17-09-31-00-76%5B1%5D.png,点击上方搜索 输入/n  ,能搜索到页面，应提示输入错误
