index,app,category,text,image,procedure,description
379,20,1,点击热门排名 排行榜中用户名显示null,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531276138586/1531276138586_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20180711102848.jpg,点击热门排名 ,排行榜中用户名显示null 在至尊排名与热门排名之间切换时，至尊排名数据也会出现异常
394,20,1,点击热门排名 排行榜中用户名显示null 在至尊排名与热门排名之间切换时，至尊排名数据也会出现异常,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531280261514/1531280261514_BUG04-01.jpg,点击热门排名 ,排行榜中用户名显示null 在至尊排名与热门排名之间切换时，至尊排名数据也会出现异常
380,20,2,点击获取规则 点击获取详情 展示信息不准确，如果是从未获取过积分应该给予相应的提示而不是显示空白页面，这样看起来像是网络原因导致的，会给用户造成困扰,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531276352035/1531276352035_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20180711103224.jpg,点击获取规则 点击获取详情 ,展示信息不准确，如果是从未获取过积分应该给予相应的提示而不是显示空白页面，这样看起来像是网络原因导致的，会给用户造成困扰
382,20,2,点击“积分” 点击“获取详情” 显示空白，会给用户造成困扰。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531276901882/1531276901882_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20180711103638.jpg,点击“积分” 点击“获取详情” ,显示空白，会给用户造成困扰。
378,20,3,点击出行服务 点击余票查询 出发日期可以选择过去两天的日期 但在点击查询后的结果列表页 当前日期没有办法点击前一天跳转到昨天或者前天的时间。如果选择前天的时间点击查询后，可以通过后一天跳转到昨天的列表页。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1530191211989/1530191211989_WechatIMG120.jpeg,点击出行服务 点击余票查询 出发日期可以选择过去两天的日期，,但在点击查询后的结果列表页，当前日期没有办法点击前一天跳转到昨天或者前天的时间。如果选择前天的时间点击查询后，可以通过后一天跳转到昨天的列表页。
381,20,3,点击车次 添加行程 页面会显示“请选择起止车站”，使得用户无法直接使用车次进行添加行程，那么设置这一选项就没意义了，会给用户造成困扰。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531276645836/1531276645836_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20180711103218.jpg,点击车次 添加行程 ,页面会显示“请选择起止车站”，使得用户无法直接使用车次进行添加行程，那么设置这一选项就没意义了，会给用户造成困扰。
383,20,3,进行余票查询 设置除了“时间早到晚”以外其它的排序筛选条件后，下拉查询结果刷新界面，搜索结果会闪动：即先显示时间早到晚的排序结果，再变成用户自己指定的排序筛选结果。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531276748948/1531276748948_BUG01.png,进行余票查询 设置除了“时间早到晚”以外其它的排序筛选条件后，下拉查询结果刷新界面，,搜索结果会闪动：即先显示时间早到晚的排序结果，再变成用户自己指定的排序筛选结果。
384,20,3,出发地与目的地分别设置为哈尔滨和福州时 点击查询 筛选目录中没有任何可供筛选的项，出发地与目的地分别为昆明和沈阳时，筛选目录中可以选择出发时间，两者都没有查到符合条件的列车信息。,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531277418179/1531277418179_BUG02-02.jpg,出发地与目的地分别设置为哈尔滨和福州时 点击查询 ,筛选目录中没有任何可供筛选的项，出发地与目的地分别为昆明和沈阳时，筛选目录中可以选择出发时间，两者都没有查到符合条件的列车信息。
385,20,3,进行余票搜索 加载的提示为“没有查到符合条件的列车信息”，但是短时间后又会出现正确的搜索结果,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531277589383/1531277589383_%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20180711105300.png,进行余票搜索 ,加载的提示为“没有查到符合条件的列车信息”，但是短时间后又会出现正确的搜索结果
387,20,3,在无网的情况下点击刷新 持续在加载的界面，不提示已经断网,http://mooctest-site.oss-cn-shanghai.aliyuncs.com/app/1531277735926/1531277735926_Screenshot_20180711-104635.jpg,在无网的情况下点击刷新 ,持续在加载的界面，不提示已经断网
